Country,Region,Status,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Adult_mortality_cat,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,GDP_per_capita_cat,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Schooling_cat,Life_expectancy
Afghanistan,Asia,Developing,2000,90.5,129.2,310.8305,Alto,0.02,62,12,21.7,24,24,0.02,148,Bajo,20.78,20.3,20.5,2.2,Bajo,55.8
Afghanistan,Asia,Developing,2001,87.9,125.2,304.858,Alto,0.02,63,13,21.8,35,33,0.02,163,Bajo,21.61,20.1,20.4,2.2,Bajo,56.3
Afghanistan,Asia,Developing,2002,85.3,121.1,298.8855,Alto,0.02,64,14,21.9,36,36,0.02,320,Bajo,22.6,19.9,20.2,2.3,Bajo,56.8
Afghanistan,Asia,Developing,2003,82.7,116.9,292.0365,Alto,0.02,65,15,22,41,41,0.02,332,Bajo,23.68,19.7,19.9,2.4,Bajo,57.3
Afghanistan,Asia,Developing,2004,80,112.6,285.188,Alto,0.02,67,16,22.1,50,50,0.02,323,Bajo,24.73,19.5,19.7,2.5,Bajo,57.8
Afghanistan,Asia,Developing,2005,77.3,108.4,278.3395,Alto,0.016,66,17,22.2,58,58,0.02,346,Bajo,25.65,19.3,19.5,2.6,Bajo,58.3
Afghanistan,Asia,Developing,2006,74.6,104.1,271.4905,Alto,0.026,64,18,22.3,58,58,0.02,354,Bajo,26.43,19.2,19.3,2.7,Bajo,58.8
Afghanistan,Asia,Developing,2007,71.9,99.9,264.6415,Alto,0.018,63,21,22.4,63,63,0.02,393,Bajo,27.1,19,19.1,2.9,Bajo,59.4
Afghanistan,Asia,Developing,2008,69.2,95.7,259.806,Alto,0.028,64,23,22.5,64,64,0.02,399,Bajo,27.72,18.8,18.9,3,Bajo,59.9
Afghanistan,Asia,Developing,2009,66.7,91.7,254.9705,Alto,0.01,63,24,22.6,63,63,0.02,473,Bajo,28.39,18.6,18.7,3.1,Bajo,60.5
Afghanistan,Asia,Developing,2010,64.2,87.8,250.135,Alto,0.02,66,29,22.7,66,66,0.02,526,Bajo,29.19,18.4,18.4,3.2,Bajo,61
Afghanistan,Asia,Developing,2011,61.8,84,245.3,Alto,0.01,68,31,22.8,68,68,0.02,512,Bajo,30.12,18.2,18.2,3.3,Bajo,61.6
Afghanistan,Asia,Developing,2012,59.5,80.3,240.464,Alto,0.01,67,33,22.9,67,67,0.03,558,Bajo,31.16,17.9,18,3.4,Bajo,62.1
Afghanistan,Asia,Developing,2013,57.3,76.9,236.221,Alto,0.01,64,38,23,64,64,0.03,569,Bajo,32.27,17.7,17.7,3.5,Bajo,62.5
Afghanistan,Asia,Developing,2014,55.2,73.6,231.978,Alto,0.01,62,44,23.2,62,62,0.03,565,Bajo,33.37,17.5,17.5,3.5,Bajo,63
Afghanistan,Asia,Developing,2015,53.2,70.4,227.735,Alto,0,65,42,23.3,67,65,0.03,556,Bajo,34.41,17.2,17.3,3.6,Bajo,63.4
Albania,Rest of Europe,Developing,2000,24.1,27.2,94.6955,Bajo,3.92,96,90,25.2,97,97,0.01,1961,Bajo,3.09,2.1,2.2,8.8,Medio,74
Albania,Rest of Europe,Developing,2001,22.9,25.8,90.939,Bajo,4.51,96,90,25.2,97,97,0.01,2144,Bajo,3.06,2.1,2.1,8.7,Medio,74.3
Albania,Rest of Europe,Developing,2002,21.7,24.4,87.182,Bajo,3.96,96,93,25.3,98,98,0.02,2247,Medio,3.05,2,2.1,9,Medio,74.6
Albania,Rest of Europe,Developing,2003,20.4,23,86.2855,Bajo,4.33,97,93,25.4,97,97,0.02,2381,Medio,3.04,1.9,2,9,Medio,74.8
Albania,Rest of Europe,Developing,2004,19.1,21.5,85.3885,Bajo,4.42,99,96,25.5,98,97,0.02,2522,Medio,3.03,1.8,1.9,9.1,Medio,75
Albania,Rest of Europe,Developing,2005,17.8,20,84.4915,Bajo,4.98,98,97,25.6,97,98,0.03,2676,Medio,3.01,1.8,1.8,9.1,Medio,75.2
Albania,Rest of Europe,Developing,2006,16.6,18.5,83.5945,Bajo,5.17,98,94,25.7,97,97,0.03,2851,Medio,2.99,1.7,1.8,9.2,Medio,75.4
Albania,Rest of Europe,Developing,2007,15.3,17.1,82.6975,Bajo,5.46,98,95,25.8,99,98,0.03,3045,Medio,2.97,1.6,1.7,9.2,Medio,75.6
Albania,Rest of Europe,Developing,2008,14.1,15.8,82.1105,Bajo,5.56,99,98,25.9,99,99,0.03,3298,Medio,2.95,1.6,1.6,9.2,Medio,75.9
Albania,Rest of Europe,Developing,2009,12.9,14.5,81.5235,Bajo,5.79,98,98,26,98,98,0.03,3432,Medio,2.93,1.5,1.6,9.3,Medio,76.2
Albania,Rest of Europe,Developing,2010,11.8,13.3,80.9365,Bajo,4.88,99,98,26.1,99,99,0.03,3577,Medio,2.91,1.4,1.5,9.3,Medio,76.6
Albania,Rest of Europe,Developing,2011,10.8,12.1,80.349,Bajo,5.03,99,99,26.2,99,99,0.03,3678,Medio,2.91,1.4,1.5,9.3,Medio,76.9
Albania,Rest of Europe,Developing,2012,10,11.2,79.762,Bajo,4.43,99,99,26.3,99,99,0.03,3736,Medio,2.9,1.3,1.4,9.6,Alto,77.3
Albania,Rest of Europe,Developing,2013,9.3,10.4,78.243,Bajo,4.28,99,99,26.4,99,99,0.03,3781,Medio,2.9,1.3,1.4,9.7,Alto,77.6
Albania,Rest of Europe,Developing,2014,8.8,9.9,76.724,Bajo,4.1,98,98,26.5,98,98,0.03,3856,Medio,2.89,1.2,1.3,9.7,Alto,77.8
Albania,Rest of Europe,Developing,2015,8.5,9.6,75.205,Bajo,4.33,99,98,26.6,99,99,0.03,3953,Medio,2.88,1.2,1.3,9.7,Alto,78
Algeria,Africa,Developing,2000,33.9,39.7,140.486,Medio,0.25,81,78,24.3,86,86,0.01,3111,Medio,31.04,6.5,6.4,5.9,Bajo,70.6
Algeria,Africa,Developing,2001,33.3,38.9,136.2,Medio,0.23,81,73,24.4,89,89,0.01,3163,Medio,31.45,6.4,6.3,6.1,Bajo,71.1
Algeria,Africa,Developing,2002,32.4,37.8,131.915,Medio,0.36,81,93,24.4,86,86,0.01,3298,Medio,31.86,6.3,6.2,6.3,Medio,71.6
